--- Write an SQL query to find the total runs scored in each over of a T20 cricket match. Assume each over only has 6 balls.

drop table if exists match_score;
create table match_score
(
    balls   int,
    runs    int
);

insert into match_score values 
(1  , 2),
(2  , 6),
(3  , 2),
(4  , 3),
(5  , 2),
(6  , 3),
(7  , 2),
(8  , 2),
(9  , 2),
(10 , 3),
(11 , 6),
(12 , 2),
(13 , 2),
(14 , 3),
(15 , 1),
(16 , 2),
(17 , 4),
(18 , 1),
(19 , 2),
(20 , 4),
(21 , 2),
(22 , 6),
(23 , 6),
(24 , 4),
(25 , 2),
(26 , 2),
(27 , 3),
(28 , 3),
(29 , 3),
(30 , 6),
(31 , 2),
(32 , 4),
(33 , 4),
(34 , 2),
(35 , 2),
(36 , 6),
(37 , 4),
(38 , 2),
(39 , 6),
(40 , 4),
(41 , 3),
(42 , 4),
(43 , 4),
(44 , 4),
(45 , 3),
(46 , 2),
(47 , 6),
(48 , 1),
(49 , 2),
(50 , 6),
(51 , 2),
(52 , 6),
(53 , 2),
(54 , 3),
(55 , 1),
(56 , 4),
(57 , 2),
(58 , 4),
(59 , 4),
(60 , 2),
(61 , 4),
(62 , 3),
(63 , 2),
(64 , 2),
(65 , 2),
(66 , 1),
(67 , 3),
(68 , 2),
(69 , 1),
(70 , 3),
(71 , 3),
(72 , 2),
(73 , 2),
(74 , 2),
(75 , 1),
(76 , 2),
(77 , 2),
(78 , 2),
(79 , 1),
(80 , 2),
(81 , 3),
(82 , 4),
(83 , 1),
(84 , 1),
(85 , 1),
(86 , 3),
(87 , 6),
(88 , 3),
(89 , 1),
(90 , 2),
(91 , 1),
(92 , 4),
(93 , 3),
(94 , 3),
(95 , 1),
(96 , 1),
(97 , 6),
(98 , 2),
(99 , 4),
(100, 3),
(101, 3),
(102, 2),
(103, 2),
(104, 3),
(105, 6),
(106, 3),
(107, 3),
(108, 3),
(109, 4),
(110, 3),
(111, 3),
(112, 4),
(113, 6),
(114, 3),
(115, 2),
(116, 3),
(117, 4),
(118, 6),
(119, 4),
(120, 1);


